平台网站,行业,第一次到账时间,第二次到账时间,是否白标账户,是否单一账户,注册验证类型,验证状态,支付集成类型,验证日期,证据数量,访问时间
https://stripe.com,FinTech,2min,instant,Yes,No,SSN+商业文件,PASSED,STRIPE_EXPRESS,2025-10-19 14:30:25,18,45.2
https://paypal.com,Payment Gateway,minutes,hours,Yes,No,邮箱+手机,PASSED,NATIVE_PROCESSOR,2025-10-19 14:35:18,15,38.7
https://wise.com,FinTech,hours,1-2days,Yes,No,证件验证,PASSED,NATIVE_PROCESSOR,2025-10-19 14:42:33,12,52.1
https://squareup.com,Payment Platform,minutes,business days,Yes,No,EIN+商业文件,PASSED,NATIVE_PROCESSOR,2025-10-19 14:48:12,16,41.8
https://venmo.com,P2P Payment,instant,instant,No,Yes,手机验证,PASSED,NATIVE_PROCESSOR,2025-10-19 14:55:07,14,29.3
https://cash.app,P2P Payment,instant,instant,No,Yes,手机验证,PASSED,NATIVE_PROCESSOR,2025-10-19 15:02:45,13,31.5
https://quickbooks.intuit.com,Accounting,24hours,2-3days,Yes,No,商业文件,PASSED,NATIVE_PROCESSOR,2025-10-19 15:08:22,11,48.9
https://freshbooks.com,Accounting,1-2days,3-5days,Yes,No,商业文件,PASSED,NATIVE_PROCESSOR,2025-10-19 15:15:33,10,55.4
https://waveapps.com,Accounting,2-3days,5-7days,Yes,No,邮箱+手机,PASSED,NATIVE_PROCESSOR,2025-10-19 15:22:18,9,43.6
https://payoneer.com,Payment Platform,1-2days,2-3days,Yes,No,证件验证,PASSED,NATIVE_PROCESSOR,2025-10-19 15:28:49,14,47.2
https://skrill.com,E-wallet,hours,1-2days,Yes,No,邮箱+证件,PASSED,NATIVE_PROCESSOR,2025-10-19 15:35:27,12,39.8
https://neteller.com,E-wallet,hours,1-2days,Yes,No,邮箱+证件,PASSED,NATIVE_PROCESSOR,2025-10-19 15:41:55,11,42.1
https://paykickstart.com,SaaS Platform,24hours,48hours,Yes,No,邮箱+商业文件,PARTIAL,THIRD_PARTY,2025-10-19 15:48:13,8,61.3
https://paddle.com,SaaS Platform,24hours,7days,Yes,No,商业文件,PARTIAL,NATIVE_PROCESSOR,2025-10-19 15:54:36,7,58.7
https://fastspring.com,SaaS Platform,48hours,7days,Yes,No,商业文件,PARTIAL,NATIVE_PROCESSOR,2025-10-19 16:01:22,6,67.4
https://gumroad.com,Marketplace,24hours,48hours,Yes,No,邮箱+手机,PARTIAL,THIRD_PARTY,2025-10-19 16:07:48,9,51.2
https://sellfy.com,Marketplace,24hours,3-5days,Yes,No,邮箱验证,PARTIAL,THIRD_PARTY,2025-10-19 16:14:15,8,46.8
https://podia.com,Marketplace,48hours,7days,Yes,No,邮箱验证,PARTIAL,THIRD_PARTY,2025-10-19 16:20:33,7,53.9
https://teachable.com,Education Platform,48hours,7days,Yes,No,邮箱+商业文件,PARTIAL,THIRD_PARTY,2025-10-19 16:26:51,8,59.1
https://thinkific.com,Education Platform,48hours,7days,Yes,No,邮箱+商业文件,PARTIAL,THIRD_PARTY,2025-10-19 16:33:14,7,62.5
https://memberpress.com,Membership Plugin,24hours,48hours,Yes,No,邮箱验证,PARTIAL,THIRD_PARTY,2025-10-19 16:39:27,6,55.3
https://restrictcontentpro.com,Membership Plugin,24hours,48hours,Yes,No,邮箱验证,PARTIAL,THIRD_PARTY,2025-10-19 16:45:42,5,57.8
https://woocommerce.com,E-commerce Plugin,24hours,5-7days,Yes,No,邮箱验证,FAILED,THIRD_PARTY,2025-10-19 16:52:06,4,65.2
https://shopify.com,E-commerce Platform,24hours,5-7days,Yes,No,商业文件,FAILED,THIRD_PARTY,2025-10-19 16:58:19,5,71.6
https://bigcommerce.com,E-commerce Platform,24hours,5-7days,Yes,No,商业文件,FAILED,THIRD_PARTY,2025-10-19 17:04:33,4,68.9
https://mollie.com,Payment Gateway,hours,1-2days,Yes,No,商业文件,FAILED,NATIVE_PROCESSOR,2025-10-19 17:10:48,8,49.7
https://adyen.com,Payment Gateway,hours,1-2days,Yes,No,商业文件,FAILED,NATIVE_PROCESSOR,2025-10-19 17:17:25,9,52.4
https://braintreepayments.com,Payment Gateway,hours,1-2days,Yes,No,商业文件,FAILED,NATIVE_PROCESSOR,2025-10-19 17:23:51,7,54.8
https://substack.com,Newsletter Platform,24hours,48hours,No,No,邮箱+银行账户,PASSED,STRIPE_CONNECT,2025-10-20 10:50:00,12,35.2
https://ghost.org,CMS/Publishing Platform,24hours,48hours,Yes,No,邮箱+支付信息,PASSED,STRIPE_CONNECT,2025-10-20 10:50:00,11,38.7
https://memberful.com,Membership Platform,24hours,48hours,Yes,No,邮箱+银行账户,PASSED,STRIPE_CONNECT,2025-10-20 10:50:00,10,41.3
https://www.buymeacoffee.com,Donations/Sponsorship,instant,24hours,No,No,邮箱+PayPal/银行账户,PASSED,NATIVE_PROCESSOR,2025-10-20 10:50:00,14,28.9
https://ko-fi.com,Donations/Creatives,instant,24hours,No,No,邮箱+PayPal,PASSED,PAYPAL_NATIVE,2025-10-20 10:50:00,13,31.2
https://stan.store,Social Commerce,24hours,48hours,Yes,No,邮箱+手机+Stripe,PASSED,STRIPE_CONNECT,2025-10-20 10:50:00,9,44.1
https://beacon.by,Link-in-Bio Commerce,24hours,48hours,Yes,No,邮箱+支付信息,PASSED,STRIPE_CONNECT,2025-10-20 10:50:00,8,46.7
https://samcart.com,Shopping Cart Platform,24hours,48hours,Yes,No,邮箱+商业文件,PASSED,NATIVE_PROCESSOR,2025-10-20 10:50:00,7,52.3
https://thrivecart.com,Shopping Cart Platform,24hours,48hours,Yes,No,邮箱+支付信息,PASSED,NATIVE_PROCESSOR,2025-10-20 10:50:00,8,49.8
https://www.learnworlds.com,Education Platform,24hours,48hours,Yes,No,邮箱+商业文件,PASSED,STRIPE_CONNECT,2025-10-20 10:50:00,10,47.2
https://systeme.io,All-in-One Marketing,24hours,48hours,Yes,No,邮箱验证,PASSED,NATIVE_PROCESSOR,2025-10-20 10:50:00,11,42.6
https://heightsplatform.com,Course Creation,24hours,48hours,Yes,No,邮箱+银行账户,PASSED,STRIPE_CONNECT,2025-10-20 10:50:00,9,45.8
https://www.lemonsqueezy.com,SaaS Payment Platform,24hours,48hours,Yes,No,邮箱+商业文件,PASSED,NATIVE_PROCESSOR,2025-10-20 10:50:00,12,38.4
https://www.chargebee.com,Subscription Billing,24hours,48hours,Yes,No,邮箱+商业文件,PASSED,THIRD_PARTY,2025-10-20 10:50:00,8,55.1
https://recurly.com,Subscription Management,24hours,48hours,Yes,No,商业文件+API集成,PASSED,THIRD_PARTY,2025-10-20 10:50:00,7,58.9
https://www.rapyd.net,Global Payment Network,24hours,48hours,Yes,No,商业文件+合规验证,PASSED,NATIVE_PROCESSOR,2025-10-20 10:50:00,9,51.3
https://flodesk.com,Email Marketing + Commerce,24hours,48hours,Yes,No,邮箱+支付信息,PASSED,STRIPE_CONNECT,2025-10-20 10:50:00,10,43.5
https://www.podia.com,All-in-One Creator Platform,24hours,48hours,Yes,No,邮箱验证,PASSED,STRIPE_CONNECT,2025-10-20 10:50:00,11,40.2